EmployeeID,Age,Gender,MaritalStatus,EducationLevel,EducationField,Department,JobRole,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,BonusPercent,StockOptionLevel,PerformanceRating,TrainingTimesLastYear,CertificationCount,AbsenceDays,LateMarks,OvertimeHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,EmployeeEngagementScore,ManagerRating,TeamSize,ProjectsHandled,AverageMonthlyHours,PerformanceTrend3Months,PerformanceTrend6Months,SalaryGrowthLast3Years,Attrition
849,28,Male,Married,Bachelor,HR,Operations,Manager,4,30,8,3,0,0,190594.0,21,9,0,1,9,18,24,3,76,1.0,4,4,5,97,1.0,7,7,264,2.359960813077595,0.6165233038585365,52,0
850,47,Male,Single,Bachelor,HR,HR,Analyst,5,36,12,2,6,10,179983.0,6,22,1,4,4,7,19,14,20,3.0,2,3,4,52,4.0,7,14,243,-0.0938277095980455,0.17785570981254933,19,0
851,48,Female,Married,Master,Business,HR,Manager,1,6,19,3,7,13,150023.0,22,14,2,4,2,0,2,1,83,5.0,1,4,4,71,,10,16,145,-0.9440466712326363,-1.0637965300516472,40,0
852,41,Male,Single,Bachelor,IT,HR,Analyst,4,4,5,0,3,14,161007.0,28,39,0,4,0,2,6,4,59,4.0,3,3,4,11,5.0,24,1,251,-0.028758095558637693,-1.3946996324093872,16,0
853,26,Male,Divorced,Master,Finance,IT,Executive,4,16,16,4,8,7,52529.0,15,0,1,5,14,8,26,17,28,4.0,1,1,1,99,5.0,12,5,230,-0.516419867687814,-1.9877160590792882,39,0
854,20,Female,Married,PhD,Finance,Sales,Executive,4,10,19,1,7,9,52017.0,27,37,3,5,6,12,21,9,28,3.0,5,5,3,53,5.0,9,5,146,-1.2755362171179196,-0.14300240264101244,34,1
855,48,Female,Married,Master,IT,IT,Manager,3,36,5,6,6,9,,6,19,2,4,13,5,27,3,80,4.0,3,5,2,52,5.0,21,10,265,-0.333726662768228,1.4079345295377284,10,0
856,57,Female,Single,Master,Marketing,Sales,Consultant,4,35,1,8,8,1,178415.0,6,19,2,5,3,3,25,15,87,4.0,1,3,3,57,2.0,4,15,121,-0.7236838392454052,0.04203942895358562,28,0
857,54,Male,Single,Master,Marketing,Sales,Consultant,3,26,2,5,9,8,160174.0,29,22,1,5,4,5,4,4,58,2.0,1,1,4,7,4.0,4,19,150,-0.05909325694858175,-1.3337820617686797,16,0
858,53,Male,Single,Master,Business,Sales,Consultant,2,0,19,5,2,14,120182.0,22,30,3,4,13,4,12,14,98,5.0,5,4,5,9,4.0,6,6,317,-0.2047154739191786,-1.6687516317551494,23,0
859,41,Female,Single,Bachelor,Engineering,IT,Executive,5,0,5,9,1,12,157570.0,13,16,1,4,7,5,3,15,58,3.0,5,2,4,13,2.0,8,17,194,-0.9219192237412118,0.38850882780761103,44,0
860,48,Female,Married,Master,Business,Operations,Analyst,5,13,18,9,9,5,30631.0,26,26,3,1,7,14,9,3,56,5.0,3,2,5,51,3.0,20,19,121,-2.5119776341810343,-1.1051855239490944,4,0
861,23,Male,Divorced,Master,Business,Finance,Engineer,3,27,0,2,4,12,38173.0,20,37,3,4,8,3,28,3,32,2.0,5,5,2,47,5.0,22,14,142,0.22744131546970683,-0.6270831012205231,13,0
862,19,Male,Married,Bachelor,Business,Operations,Manager,1,0,15,7,9,4,72339.0,21,4,3,4,8,0,10,8,72,5.0,3,3,5,91,5.0,13,15,227,-0.8941905706351776,0.622303206022314,3,0
863,37,Female,Married,High School,IT,IT,Analyst,3,7,7,2,8,5,174481.0,14,35,3,4,5,6,28,1,84,2.0,1,1,1,84,2.0,6,2,227,-2.314946961810425,-0.02609610865416707,58,0
864,45,Female,Married,Bachelor,Finance,Sales,Engineer,4,25,15,3,1,9,116452.0,26,35,1,4,8,18,7,13,69,1.0,4,1,5,68,1.0,6,10,233,1.278006617952208,0.6261584559733665,57,0
865,28,Female,Married,High School,Finance,Finance,Executive,1,35,3,2,1,0,38396.0,21,22,1,2,6,1,16,0,99,4.0,5,4,5,22,3.0,16,18,237,0.20383897133986226,1.3846043100584589,4,0
866,21,Female,Single,Bachelor,Engineering,Operations,Engineer,5,28,14,1,4,3,182020.0,10,31,1,2,8,1,10,5,93,5.0,5,4,3,99,,10,9,122,-1.2358998990743877,1.6459155479298093,39,0
867,32,Male,Married,Bachelor,Marketing,HR,Executive,2,39,13,0,8,5,106681.0,5,21,1,3,8,15,1,4,17,4.0,1,3,3,88,3.0,23,18,229,-0.5686311250481049,0.1718817048515435,12,0
868,23,Male,Married,PhD,Business,Operations,Executive,2,3,0,0,8,5,171948.0,17,26,1,4,13,18,17,8,73,1.0,1,1,1,53,4.0,2,16,277,0.8480433893541418,-0.7519640797030279,9,0
869,47,Male,Married,Bachelor,IT,IT,Analyst,3,1,0,0,9,5,20168.0,10,13,0,5,1,3,24,6,80,5.0,3,4,3,57,3.0,6,4,182,-0.2380036500025798,-0.6917059821931982,19,0
870,55,Male,Divorced,Master,IT,Finance,Consultant,3,29,3,9,3,6,120588.0,23,35,3,2,2,2,25,19,87,3.0,3,1,5,54,3.0,4,8,318,0.3304408550586786,-0.18392494971191725,8,0
871,19,Female,Married,High School,Business,HR,Consultant,3,19,14,4,8,8,96944.0,10,10,0,2,4,4,16,13,34,5.0,3,5,5,37,2.0,23,7,313,-0.5322996936687537,-0.6908945333551044,26,0
872,32,Male,Single,Bachelor,IT,Finance,Analyst,3,29,5,9,0,8,187724.0,23,12,3,1,7,3,17,12,83,2.0,1,4,4,61,5.0,21,18,220,-1.0912141267517526,-1.4057596572751316,59,0
873,28,Female,Married,Bachelor,IT,Finance,Manager,5,17,3,0,8,2,121345.0,16,38,0,5,10,4,12,16,77,4.0,3,2,5,37,4.0,4,9,200,1.116733506276895,0.6923765538435207,35,0
874,25,Male,Single,Bachelor,Business,Operations,Executive,4,29,19,4,6,3,130556.0,26,9,3,5,10,12,10,15,57,5.0,5,2,2,47,5.0,24,11,259,1.2520943597762373,-0.21494577456769148,9,0
875,43,Male,Married,Master,Engineering,Sales,Manager,5,34,3,3,8,0,170861.0,15,36,0,2,10,16,23,10,3,4.0,1,5,4,88,3.0,22,14,142,-1.9512886033427788,-1.4473745696257254,2,0
876,22,Male,Married,Master,IT,Operations,Executive,2,0,9,1,9,11,136643.0,26,9,2,1,5,11,2,2,44,2.0,1,2,5,22,2.0,13,19,239,0.34855734101935504,1.3890231465766962,34,0
877,23,Female,Married,Master,Finance,HR,Executive,2,2,6,2,4,0,110382.0,11,3,0,3,4,5,18,9,59,3.0,3,5,5,43,3.0,5,14,268,0.3331589704212499,2.1033652498733697,10,0
878,43,Male,Divorced,Bachelor,HR,IT,Consultant,2,22,5,7,5,3,94151.0,26,10,1,4,10,13,29,13,59,5.0,2,3,3,28,3.0,11,19,176,0.1088751201576532,2.4753739137417345,23,0
879,21,Female,Married,Master,Finance,Operations,Consultant,4,39,3,2,0,5,166886.0,10,17,0,5,8,5,0,4,78,5.0,5,1,4,36,2.0,21,5,244,-0.20492249647495242,-0.4970059747672248,52,0
880,36,Female,Single,Bachelor,HR,Sales,Executive,4,21,12,2,1,11,181888.0,19,37,1,4,2,6,17,19,34,5.0,5,2,4,56,3.0,4,8,124,-0.6799254398287363,0.7805308833489419,17,0
881,37,Male,Single,High School,HR,Sales,Consultant,1,14,10,1,0,11,108236.0,10,17,2,4,3,7,12,16,60,3.0,3,5,1,25,1.0,6,7,135,-0.12089716588488485,0.705807186596031,21,0
882,50,Female,Married,Master,Finance,Operations,Consultant,4,15,8,4,0,2,162521.0,13,38,3,4,13,19,28,8,41,2.0,5,3,4,45,4.0,10,18,130,-1.5280993589294374,-0.8008596259675542,56,0
883,37,Male,Single,Master,Business,HR,Engineer,2,26,7,1,6,4,197664.0,27,0,3,3,3,8,0,9,92,5.0,2,2,1,42,5.0,19,8,287,-0.05383852560130917,-0.9978813951782128,52,0
884,29,Female,Single,Bachelor,HR,Sales,Engineer,4,31,9,9,2,8,77535.0,28,13,0,4,6,17,17,8,4,3.0,3,3,3,13,1.0,13,12,261,1.124235318250091,0.14372103049116086,46,1
885,18,Male,Single,Master,Finance,Sales,Executive,4,33,1,9,0,10,152997.0,22,29,0,3,0,12,16,5,47,4.0,5,3,2,67,3.0,8,9,219,-1.748170171518925,0.29775412808597007,20,0
886,43,Female,Married,Master,Marketing,HR,Consultant,4,11,2,6,0,0,119849.0,7,32,2,2,3,15,21,19,86,2.0,5,3,5,44,2.0,13,12,229,0.08119256803078448,0.4632218126251616,20,0
887,31,Female,Single,Bachelor,IT,HR,Engineer,3,17,1,9,6,0,50660.0,6,9,3,2,11,16,22,14,82,3.0,1,1,2,45,2.0,18,18,235,-1.8729893403836886,0.3721902071011706,50,0
888,55,Male,Divorced,Bachelor,Engineering,HR,Manager,4,17,17,7,4,1,43350.0,17,30,1,1,9,12,2,9,2,2.0,4,1,1,18,1.0,5,3,316,0.949088849546733,-0.6042652197627063,28,1
889,54,Male,Divorced,PhD,HR,HR,Executive,3,3,10,5,0,14,194660.0,15,12,1,5,10,3,23,10,21,2.0,1,2,5,25,3.0,24,17,120,-1.5537305640550263,0.13194163156212269,24,0
890,28,Male,Divorced,Master,Finance,Operations,Executive,2,33,19,8,7,5,149961.0,9,7,0,1,6,19,2,10,14,1.0,3,5,4,55,2.0,2,15,157,-0.15493832823770096,0.8146925250175304,9,0
891,53,Male,Single,Bachelor,Business,Operations,Manager,1,38,0,4,5,9,62369.0,28,34,0,5,0,11,22,12,71,1.0,2,5,5,84,5.0,22,17,185,-2.4416700391641912,0.4339965751406415,29,0
892,30,Female,Divorced,Bachelor,HR,Finance,Executive,5,18,4,5,4,10,162376.0,9,32,0,5,5,5,4,11,79,1.0,2,4,1,40,4.0,9,11,123,0.25808277873288166,-1.1641058450544768,35,0
893,20,Female,Divorced,Bachelor,Engineering,Finance,Consultant,1,30,6,3,5,8,108032.0,16,23,0,2,1,4,23,5,43,5.0,5,1,4,28,1.0,9,8,122,-0.9591297787569315,0.03055723797759252,44,0
894,50,Female,Divorced,Bachelor,Business,Finance,Engineer,5,30,17,8,7,7,161701.0,6,12,0,1,0,2,21,16,37,3.0,1,4,1,78,2.0,2,2,296,0.050794707677288504,-0.0983010006268488,40,0
895,23,Female,Married,Bachelor,Engineering,Sales,Analyst,2,19,4,1,8,10,92470.0,22,22,0,3,1,0,20,7,29,2.0,3,1,5,72,1.0,21,8,195,0.5009141358913459,0.8814362052260989,26,1
896,27,Male,Married,Bachelor,Engineering,HR,Engineer,3,19,19,0,8,4,122821.0,14,27,1,3,7,5,24,14,66,3.0,4,1,1,89,4.0,11,15,197,-1.1093462339036155,-0.19727649292137756,51,0
897,22,Female,Single,Master,IT,Operations,Manager,4,31,5,5,2,7,57136.0,22,8,1,5,13,16,17,17,88,3.0,3,3,4,12,1.0,2,7,267,0.7351441051402925,-0.9362728550016062,36,1
898,40,Male,Married,Master,HR,Operations,Analyst,3,19,0,5,0,4,67801.0,8,4,3,3,0,4,15,17,78,3.0,4,4,2,19,2.0,3,2,142,-1.3005928293084434,0.38926132054772195,25,0
899,27,Female,Single,PhD,HR,HR,Consultant,5,15,16,5,9,14,26066.0,25,36,2,2,8,2,16,16,16,2.0,3,4,5,21,3.0,17,8,212,1.0181777923777717,-0.043151680720493545,21,0
900,19,Male,Single,Master,HR,Finance,Consultant,4,18,17,5,5,9,189039.0,26,39,2,1,3,11,6,18,71,1.0,4,1,2,33,1.0,5,7,138,-0.7100661285263918,0.5694326713101858,55,0
901,30,Male,Divorced,Master,Engineering,Sales,Engineer,5,30,3,3,6,9,,11,39,0,3,4,14,29,7,75,4.0,1,3,2,1,,18,15,134,0.25154969482120426,-0.10544426982526985,7,0
902,57,Male,Married,Master,Marketing,Operations,Executive,5,12,16,8,5,2,144269.0,28,17,0,5,11,19,1,18,89,2.0,1,4,5,8,2.0,6,9,136,-0.3715352100735778,-0.6828279886943622,38,0
903,19,Male,Single,Bachelor,Marketing,IT,Executive,4,19,12,6,4,6,52498.0,25,3,3,1,9,10,20,1,57,1.0,1,2,3,9,2.0,14,9,123,-0.3300778953446703,0.6322774941196051,40,0
904,37,Male,Divorced,Master,Marketing,Sales,Manager,1,11,4,7,9,12,35647.0,7,35,3,3,14,12,0,5,77,3.0,2,1,1,14,3.0,13,12,211,-0.38770909936664344,-0.520330138310536,59,1
905,18,Female,Divorced,High School,Business,Sales,Executive,1,25,3,7,4,5,87346.0,9,1,2,3,10,12,16,13,6,3.0,3,5,1,38,2.0,7,19,181,-1.5120893039617878,1.223543234531098,53,0
906,54,Male,Single,Bachelor,IT,Finance,Consultant,5,34,4,9,9,6,189453.0,5,12,3,4,10,9,12,3,51,1.0,1,4,4,55,1.0,3,2,246,1.3074977801933019,1.4871307033777719,21,1
907,26,Female,Married,Bachelor,Business,HR,Analyst,2,9,8,3,2,4,197746.0,11,23,3,1,9,13,10,10,24,4.0,2,1,4,61,4.0,21,7,125,0.23080772518571308,0.2857261423424881,42,0
908,34,Female,Single,Bachelor,HR,IT,Engineer,3,11,12,5,3,7,142623.0,16,17,2,5,11,14,15,13,93,1.0,5,3,5,84,5.0,12,16,285,0.16732529868095056,0.06094297874212933,17,0
909,26,Male,Single,Bachelor,HR,Finance,Engineer,1,23,8,6,9,7,123730.0,28,12,2,1,10,7,26,3,81,1.0,5,3,3,37,5.0,11,19,298,1.0548375199737716,-0.40978576272863,11,1
910,28,Female,Single,Master,Finance,HR,Engineer,4,8,3,5,2,10,35189.0,26,13,1,5,11,13,16,8,73,5.0,1,1,2,62,,2,13,283,0.8444660650930372,0.4816740699492595,57,0
911,32,Female,Single,Bachelor,HR,IT,Executive,5,4,13,5,8,4,33011.0,20,18,3,5,12,15,11,9,29,2.0,3,3,2,45,1.0,21,7,226,0.15283281593678247,-1.2188383573462824,37,1
912,41,Female,Single,PhD,Marketing,Operations,Analyst,3,30,1,6,2,9,116686.0,26,12,2,5,1,8,16,8,39,3.0,3,2,2,6,5.0,21,5,311,-0.23399594608802923,2.304834256786452,36,0
913,55,Male,Single,Bachelor,IT,IT,Executive,3,33,17,8,4,10,46959.0,29,9,2,2,11,12,1,13,20,1.0,1,3,5,33,5.0,17,7,197,-1.0802000160417902,1.4711333312299901,37,0
914,52,Male,Divorced,Master,Marketing,Finance,Executive,5,10,18,7,5,11,185356.0,11,3,0,3,0,8,1,4,65,5.0,2,3,3,33,5.0,11,8,233,-1.090382076798028,-0.29488508907551053,28,0
915,47,Male,Married,Bachelor,IT,IT,Consultant,3,8,1,2,7,6,196042.0,12,28,1,3,2,18,23,4,34,5.0,2,2,1,4,4.0,16,5,251,-0.5275359005981797,-0.1656535993931885,7,0
916,48,Male,Married,Bachelor,Business,IT,Consultant,2,21,8,2,9,3,79210.0,19,19,3,3,8,18,0,6,91,4.0,3,2,4,33,4.0,9,17,136,-0.04331505735724754,0.7326411650288918,20,0
917,22,Female,Married,Bachelor,HR,IT,Executive,5,39,13,1,5,6,192654.0,10,13,0,2,6,11,14,6,80,4.0,1,1,2,100,1.0,5,4,215,0.2531276055349975,-0.08267486284194088,41,0
918,31,Female,Single,Master,Business,Operations,Manager,3,27,11,5,5,5,161672.0,9,2,2,3,10,9,8,19,97,5.0,3,1,5,73,3.0,5,8,196,1.6049297040568222,0.5697485099228378,31,1
919,28,Female,Divorced,Bachelor,Marketing,HR,Manager,3,15,19,6,5,11,178146.0,27,22,2,4,6,12,11,13,3,2.0,1,2,5,14,1.0,10,3,135,-1.186356790687937,-0.9411203638436197,40,0
920,26,Female,Married,Bachelor,Engineering,IT,Manager,1,9,4,8,0,12,113757.0,20,34,2,2,1,3,4,7,61,5.0,5,1,3,95,3.0,11,15,175,0.05866536507020333,0.9426192186195711,26,0
921,51,Female,Single,High School,IT,Sales,Executive,3,33,1,5,9,1,146965.0,24,26,3,2,1,0,7,0,96,5.0,5,1,3,54,5.0,17,17,216,-0.537327603193281,0.3724130640800223,22,0
922,29,Female,Single,Bachelor,HR,Finance,Analyst,3,14,7,8,5,14,103194.0,16,0,2,3,6,14,11,9,40,5.0,5,2,1,65,5.0,4,5,217,-1.4802307634293277,0.14167539317481448,34,0
923,52,Male,Married,PhD,Finance,Sales,Manager,1,17,6,1,0,1,114569.0,14,10,0,4,11,1,19,19,48,4.0,4,4,2,66,5.0,24,18,263,-0.7923250833110601,0.30702673881696924,42,0
924,52,Female,Married,High School,Engineering,HR,Consultant,5,30,6,3,1,12,72511.0,16,9,0,5,9,7,4,19,41,2.0,1,5,3,37,4.0,19,19,301,-1.4687624204767473,-1.6223067931684934,14,0
925,18,Female,Married,Master,Business,Finance,Engineer,1,4,7,0,7,9,101108.0,25,34,2,5,9,0,1,14,87,1.0,2,3,1,3,3.0,16,7,191,-0.46689861057530807,-0.06906766508341927,35,0
926,57,Female,Single,Master,IT,HR,Engineer,4,32,19,5,7,6,57406.0,26,24,2,3,1,17,12,2,30,4.0,2,2,5,48,3.0,2,8,262,2.2185653386979953,0.5953266449296959,11,0
927,39,Male,Single,Bachelor,Engineering,Finance,Executive,4,28,3,2,1,6,176869.0,29,22,1,1,5,12,20,11,72,1.0,1,2,3,2,4.0,14,6,160,0.040205186687731514,-0.8356731299578921,35,0
928,46,Female,Married,Bachelor,Finance,Sales,Engineer,2,2,0,9,2,2,183320.0,16,15,2,3,13,16,27,19,33,5.0,5,4,4,89,2.0,6,17,229,0.07400414265254991,-0.06877387564115023,53,0
929,25,Female,Married,Bachelor,Engineering,Sales,Executive,3,22,1,5,5,2,109978.0,6,3,3,3,13,6,20,16,40,3.0,4,5,5,30,4.0,19,2,245,0.9080485269023261,-1.0183967114355934,42,0
930,28,Male,Single,Bachelor,Finance,Operations,Engineer,4,9,3,0,3,12,20108.0,11,37,3,3,14,14,27,3,40,3.0,2,1,3,52,,11,13,303,-1.5483641071565977,-0.1416810822031018,37,0
931,58,Female,Single,High School,Business,HR,Analyst,5,31,8,7,8,1,43052.0,9,13,3,5,0,8,16,3,84,1.0,2,2,5,73,2.0,8,2,190,-1.2894275263113626,-0.9622336389071399,20,1
932,54,Male,Married,Bachelor,IT,Sales,Analyst,5,26,2,5,6,12,116934.0,22,35,1,3,0,16,13,11,61,3.0,3,3,2,18,,12,3,261,-0.0007666640500215581,-0.37553690089350733,6,0
933,31,Male,Married,Bachelor,Business,Finance,Analyst,4,35,0,6,9,9,146698.0,22,3,0,4,7,12,15,8,68,4.0,5,1,4,63,2.0,7,7,191,-0.8874733961565396,0.1529540569951286,55,0
934,47,Female,Single,Master,IT,IT,Analyst,1,23,4,8,8,14,138614.0,20,38,3,1,14,14,0,14,48,5.0,5,4,5,50,4.0,12,14,164,0.2455126449890107,0.1376374082108353,46,0
935,52,Female,Married,Master,Engineering,IT,Manager,2,19,10,3,6,9,154969.0,6,30,2,3,9,7,21,8,73,5.0,5,5,2,96,3.0,2,12,181,1.2781248561824894,-1.407415203555198,41,0
936,38,Male,Married,Master,Business,IT,Consultant,1,2,10,3,5,5,47778.0,12,34,0,1,2,6,3,8,31,2.0,5,3,5,19,3.0,18,19,154,1.2860285939814202,1.4375335812351975,46,1
937,54,Female,Divorced,Bachelor,IT,Operations,Analyst,2,4,10,9,3,14,199344.0,23,27,3,2,1,15,24,3,4,4.0,5,1,1,24,1.0,6,13,245,0.8998430380926373,0.6593037192227391,4,0
938,22,Female,Single,Bachelor,HR,Sales,Manager,4,2,14,3,7,10,26713.0,10,24,3,1,2,12,7,8,7,5.0,1,4,4,91,5.0,22,9,138,1.6887668463250682,-1.4670764111074237,26,0
939,36,Male,Single,Bachelor,Finance,HR,Executive,1,39,0,1,5,10,108533.0,27,27,3,5,13,12,1,2,4,4.0,4,3,2,15,4.0,16,17,188,-0.6593442140926352,0.22246506437776858,41,0
940,31,Male,Divorced,Bachelor,IT,HR,Engineer,4,5,10,2,9,5,187213.0,26,17,2,5,11,14,15,13,1,3.0,3,5,2,4,5.0,17,3,121,0.2791159103691394,-1.7377066587587493,17,0
941,43,Female,Single,Bachelor,HR,Operations,Engineer,2,14,5,5,4,10,25532.0,17,27,2,5,4,17,15,9,62,5.0,2,4,2,54,3.0,9,19,315,1.2348942207071774,-0.2556074356504752,42,0
942,21,Male,Married,Master,Business,Finance,Manager,5,5,16,1,5,8,197754.0,11,22,1,1,0,13,11,15,35,3.0,2,5,1,24,5.0,8,5,274,0.2837893112305281,1.8084124121571492,35,0
943,42,Female,Married,Bachelor,Business,Sales,Engineer,1,22,17,8,5,5,33162.0,24,39,3,3,0,16,12,16,31,2.0,1,5,1,71,5.0,3,8,255,-0.14698980552128849,1.3233680946710031,23,0
944,59,Female,Single,Bachelor,Engineering,Sales,Analyst,4,29,10,9,1,14,195988.0,28,31,0,3,3,14,3,13,21,3.0,2,3,3,51,2.0,15,5,134,-1.2556500533774289,-0.17848598865019716,50,0
945,42,Female,Married,Master,Finance,Finance,Engineer,2,38,8,2,2,7,109990.0,9,1,0,4,13,10,16,5,76,3.0,4,3,1,25,2.0,17,4,167,-0.6214857080161446,0.33874905824961,58,0
946,35,Female,Married,Master,IT,Finance,Analyst,5,39,11,9,9,4,44498.0,21,33,0,3,5,16,13,9,69,2.0,5,1,5,99,3.0,12,19,272,-1.1843175335111644,-0.5537501056926154,48,0
947,57,Male,Married,Bachelor,Business,Sales,Analyst,1,20,12,2,8,11,,8,4,1,5,6,12,26,5,62,1.0,3,1,1,23,5.0,8,1,243,0.8489502797326618,0.7547762757429325,47,0
948,25,Female,Single,Bachelor,IT,Sales,Engineer,2,36,2,5,7,7,87519.0,5,9,3,3,3,3,11,19,95,2.0,1,4,1,7,1.0,24,9,162,1.251655478522927,0.7502017499984395,29,0
949,56,Male,Divorced,Master,Marketing,IT,Manager,1,21,3,1,7,1,138112.0,10,37,0,2,2,2,29,4,27,2.0,4,4,3,93,1.0,15,5,150,0.7459300296696284,3.103656744569856,57,0
950,57,Female,Married,High School,Finance,HR,Executive,1,1,15,3,0,8,170330.0,10,15,2,2,0,13,11,11,44,1.0,5,1,3,5,3.0,6,19,129,-0.6615199170954075,1.1872973653833858,13,0
951,31,Female,Married,Bachelor,Finance,IT,Manager,3,13,3,0,8,5,54385.0,7,11,1,4,4,6,27,3,31,5.0,4,4,4,45,,12,19,194,0.6165672999282105,-1.5659422987880172,11,0
952,49,Male,Married,Master,HR,IT,Consultant,4,17,11,3,3,10,182693.0,14,0,1,2,9,19,25,16,40,5.0,3,1,1,86,2.0,17,4,131,0.6540439085928588,-0.35177301521532345,37,0
953,55,Female,Married,Master,Marketing,HR,Consultant,3,14,9,4,1,4,199215.0,26,17,2,2,5,11,13,14,30,3.0,4,3,3,20,2.0,7,18,141,-1.620928971896827,1.1739738300115847,16,0
954,50,Male,Married,High School,Finance,Operations,Analyst,1,36,12,4,6,14,81526.0,15,38,0,5,1,8,15,2,93,,1,1,2,80,5.0,16,3,154,0.13224320962204172,1.8302845662892349,30,0
955,40,Male,Divorced,Bachelor,Marketing,Operations,Analyst,2,1,5,9,5,1,189861.0,27,16,1,4,12,14,26,4,61,5.0,1,2,5,29,5.0,10,3,246,-0.6046310740390187,0.0993139463258877,25,0
956,32,Female,Single,Bachelor,IT,Operations,Manager,4,19,7,1,8,9,,18,38,0,4,6,14,6,19,51,3.0,2,3,1,25,5.0,2,1,181,-0.7722550423045346,0.17857273987484829,36,0
957,50,Female,Married,Bachelor,Marketing,Operations,Manager,2,9,10,8,1,0,105134.0,8,37,1,1,1,1,28,17,21,2.0,3,1,2,61,,23,17,125,-0.6513538754621508,-0.29132857485524655,53,0
958,42,Female,Divorced,Bachelor,Engineering,Finance,Analyst,2,4,16,6,5,2,71313.0,11,28,0,1,7,18,27,12,50,2.0,3,1,3,65,2.0,13,8,194,-1.3421908017642146,0.7880066053238978,56,0
959,34,Female,Single,PhD,HR,IT,Executive,5,31,5,3,7,11,48168.0,14,17,2,4,0,8,12,14,68,3.0,5,5,3,67,1.0,4,18,275,-0.20911812938668953,-0.28649710615523777,53,1
960,50,Male,Single,Bachelor,Marketing,Finance,Executive,1,1,14,4,5,9,103335.0,5,7,1,1,4,2,7,8,19,4.0,4,5,1,4,4.0,7,6,273,0.01388961112135606,-1.3347671991318666,55,0
961,19,Female,Divorced,Bachelor,IT,Finance,Consultant,2,4,12,0,7,7,171961.0,13,32,2,3,10,15,26,7,56,5.0,2,4,5,66,,4,12,236,1.3098346513521004,-1.5312279156776691,28,0
962,31,Female,Married,Bachelor,Finance,HR,Executive,1,20,8,9,1,6,84734.0,14,19,0,3,3,12,7,5,12,5.0,2,5,3,61,,2,13,157,-0.32811667389678395,-0.3444729728938308,37,0
963,57,Female,Divorced,High School,Engineering,Operations,Engineer,3,17,14,4,8,10,136362.0,7,3,1,2,6,18,14,12,53,4.0,1,3,1,49,1.0,16,16,234,-0.7213428006604673,0.3269017318763668,23,0
964,57,Female,Single,Bachelor,Marketing,Sales,Analyst,3,39,18,5,5,14,27065.0,26,12,3,3,2,13,28,6,2,2.0,5,3,2,43,5.0,20,11,253,-0.11614933910086782,0.8082051624280618,15,0
965,56,Female,Single,Bachelor,HR,Operations,Manager,2,3,18,4,6,8,108007.0,13,37,3,5,14,9,29,16,73,4.0,4,1,5,37,3.0,14,11,272,-0.3966555238039674,-0.9699622446184696,11,0
966,23,Male,Single,Master,HR,IT,Analyst,1,31,9,5,1,6,179831.0,22,27,2,1,0,9,10,5,82,3.0,2,4,4,40,2.0,2,10,279,-1.0078694997922175,0.533640177892362,2,0
967,23,Female,Married,Bachelor,IT,Finance,Engineer,5,35,4,6,9,4,133741.0,7,9,3,5,11,4,4,9,16,4.0,3,1,2,47,1.0,17,13,299,0.15018299381643255,-0.2537261365167488,52,1
968,20,Male,Married,Bachelor,Engineering,IT,Executive,4,3,14,5,7,13,86854.0,11,23,3,5,3,3,29,15,28,2.0,5,1,5,90,4.0,20,4,298,-0.8038082971770416,0.1603589773179316,21,0
969,24,Female,Single,Bachelor,Engineering,Finance,Analyst,3,16,2,9,8,14,130586.0,20,0,0,4,8,0,13,0,66,3.0,1,2,4,35,2.0,4,10,289,0.922845851324369,0.6446536836715969,11,0
970,25,Female,Single,Bachelor,Engineering,Finance,Engineer,3,32,15,1,2,12,41994.0,14,29,2,2,13,15,1,0,37,5.0,2,4,2,21,2.0,11,5,226,-0.917635110935441,1.1269514306681878,3,0
971,59,Female,Married,Bachelor,Marketing,Finance,Executive,5,21,4,1,3,0,183011.0,11,39,2,2,1,12,27,11,14,3.0,2,5,1,94,4.0,19,16,129,-0.12813693619288855,-0.8566161273462694,14,0
972,32,Male,Married,Master,IT,Sales,Consultant,2,17,4,8,5,3,110291.0,11,30,3,5,8,6,4,17,36,2.0,4,5,2,67,3.0,20,11,294,-1.3997073619302027,-1.887485887047118,17,0
973,46,Female,Single,Master,IT,Operations,Consultant,3,26,1,5,2,4,,29,28,1,2,6,12,9,18,40,5.0,4,1,3,56,3.0,14,1,292,1.744715928893458,0.27451034143673825,39,0
974,50,Male,Divorced,High School,IT,Finance,Consultant,3,14,7,9,9,8,87961.0,9,7,0,3,13,13,17,7,48,5.0,5,4,4,67,1.0,12,16,143,-0.571518481076213,0.8121592390741549,42,0
975,47,Male,Single,Master,Business,HR,Engineer,4,24,16,3,6,4,171024.0,15,28,2,5,2,1,1,1,60,3.0,3,4,2,29,4.0,3,5,151,0.6324359765490459,0.5113018354701355,40,0
976,56,Female,Married,Bachelor,Finance,Finance,Engineer,5,9,2,9,7,8,108458.0,11,30,1,1,4,6,24,18,71,1.0,4,2,4,38,2.0,16,15,266,-0.35819309647138603,-0.8070238230129405,7,0
